,TOEFL Score,University Rating,SOP,LOR,CGPA,Research,Chance of Admit
0,118,4,4.5,4.5,9.65,1,0.92
1,107,4,4.0,4.5,8.87,1,0.76
2,104,3,3.0,3.5,8.0,1,0.72
3,110,3,3.5,2.5,8.67,1,0.8
4,103,2,2.0,3.0,8.21,0,0.65
5,115,5,4.5,3.0,9.34,1,0.9
6,109,3,3.0,4.0,8.2,1,0.75
7,101,2,3.0,4.0,7.9,0,0.68
8,102,1,2.0,1.5,8.0,0,0.5
9,108,3,3.5,3.0,8.6,0,0.45
10,106,3,3.5,4.0,8.4,1,0.52
11,111,4,4.0,4.5,9.0,1,0.84
12,112,4,4.0,4.5,9.1,1,0.78
13,109,3,4.0,3.0,8.0,1,0.62
14,104,3,3.5,2.0,8.2,1,0.61
15,105,3,3.5,2.5,8.3,0,0.54
16,107,3,4.0,3.0,8.7,0,0.66
17,106,3,4.0,3.0,8.0,1,0.65
18,110,3,4.0,3.0,8.8,0,0.63
19,102,3,3.5,3.0,8.5,0,0.62
20,107,3,3.0,2.0,7.9,1,0.64
21,114,4,3.0,2.0,8.4,0,0.7
22,116,5,5.0,5.0,9.5,1,0.94
23,119,5,5.0,4.5,9.7,1,0.95
24,119,5,4.0,3.5,9.8,1,0.97
25,120,5,4.5,4.5,9.6,1,0.94
26,109,5,4.5,3.5,8.8,0,0.76
27,98,2,1.5,2.5,7.5,1,0.44
28,93,1,2.0,2.0,7.2,0,0.46
29,99,2,1.5,2.0,7.3,0,0.54
30,97,2,3.0,3.0,8.1,1,0.65
31,103,3,4.0,4.0,8.3,1,0.74
32,118,4,3.0,4.5,9.4,1,0.91
33,114,5,4.0,4.0,9.6,1,0.9
34,112,5,4.0,5.0,9.8,1,0.94
35,110,5,5.0,5.0,9.2,1,0.88
36,106,2,4.0,4.0,8.4,0,0.64
37,105,1,1.0,2.0,7.8,0,0.58
38,105,1,3.0,1.5,7.5,0,0.52
39,108,2,4.0,3.5,7.7,0,0.48
40,110,3,3.5,3.0,8.0,1,0.46
41,105,2,2.5,2.5,8.2,1,0.49
42,107,2,2.5,2.0,8.5,1,0.53
43,117,4,4.5,4.0,9.1,0,0.87
44,113,5,4.5,4.0,9.4,1,0.91
45,110,5,5.0,4.0,9.1,1,0.88
46,114,5,4.0,5.0,9.3,1,0.86
47,119,5,4.5,4.0,9.7,0,0.89
48,110,3,3.5,5.0,8.85,1,0.82
49,111,4,3.0,4.0,8.4,1,0.78
50,98,3,2.5,4.5,8.3,1,0.76
51,100,2,1.5,3.5,7.9,1,0.56
52,116,4,4.0,3.0,8.0,1,0.78
53,112,4,4.0,2.5,8.1,1,0.72
54,110,3,3.0,3.5,8.0,0,0.7
55,103,3,3.0,3.0,7.7,0,0.64
56,102,3,2.0,3.0,7.4,0,0.64
57,99,2,4.0,2.0,7.6,0,0.46
58,99,1,3.0,2.0,6.8,1,0.36
59,104,2,2.0,2.0,8.3,0,0.42
60,100,2,3.0,3.0,8.1,0,0.48
61,101,3,4.0,3.0,8.2,0,0.47
62,105,2,3.0,3.0,8.2,1,0.54
63,107,2,4.0,3.0,8.5,1,0.56
64,111,3,3.0,3.5,8.7,0,0.52
65,112,4,3.5,3.5,8.92,0,0.55
66,114,3,3.0,3.0,9.02,0,0.61
67,107,2,3.5,3.5,8.64,1,0.57
68,109,3,3.5,4.0,9.22,1,0.68
69,115,4,4.5,4.0,9.16,1,0.78
70,118,5,5.0,5.0,9.64,1,0.94
71,112,5,5.0,5.0,9.76,1,0.96
72,111,5,5.0,5.0,9.45,1,0.93
73,108,4,4.5,4.0,9.04,1,0.84
74,106,3,3.0,5.0,8.9,0,0.74
75,114,2,2.0,4.0,8.56,1,0.72
76,112,3,3.0,3.0,8.72,1,0.74
77,99,2,3.0,2.0,8.22,0,0.64
78,95,2,3.0,2.0,7.54,1,0.44
79,93,1,1.5,2.0,7.36,0,0.46
80,105,3,2.0,3.0,8.02,1,0.5
81,120,4,5.0,5.0,9.5,1,0.96
82,110,5,5.0,4.5,9.22,1,0.92
83,115,5,4.0,4.5,9.36,1,0.92
84,115,5,4.5,4.5,9.45,1,0.94
85,103,4,4.5,3.5,8.66,0,0.76
86,106,3,4.5,3.5,8.42,0,0.72
87,107,2,3.5,3.0,8.28,0,0.66
88,108,3,4.5,3.5,8.14,0,0.64
89,109,4,4.5,3.5,8.76,1,0.74
90,106,2,4.0,4.0,7.92,1,0.64
91,97,3,5.0,3.5,7.66,0,0.38
92,98,2,4.0,3.0,8.03,0,0.34
93,97,2,3.0,3.0,7.88,1,0.44
94,99,3,2.0,2.5,7.66,0,0.36
95,100,4,1.5,2.5,7.84,0,0.42
96,100,2,3.0,3.0,8.0,0,0.48
97,120,3,4.0,4.0,8.96,1,0.86
98,119,4,5.0,4.5,9.24,1,0.9
99,113,3,4.0,4.0,8.88,1,0.79
100,107,3,3.5,3.5,8.46,1,0.71
101,105,2,2.5,3.0,8.12,0,0.64
102,106,2,4.0,3.5,8.25,0,0.62
103,104,2,4.5,4.0,8.47,0,0.57
104,112,3,3.5,3.0,9.05,1,0.74
105,110,3,4.0,4.5,8.78,1,0.69
106,111,4,4.5,4.5,9.18,1,0.87
107,117,4,3.5,4.5,9.46,1,0.91
108,116,5,5.0,5.0,9.38,1,0.93
109,103,5,5.0,4.0,8.64,0,0.68
110,108,5,3.0,3.0,8.48,0,0.61
